fecha;month;year
2015-12-28;1;2016
2016-01-04;1;2016
2016-01-11;1;2016
2016-01-18;1;2016
2016-01-25;1;2016
2016-02-01;2;2016
2016-02-08;2;2016
2016-02-15;2;2016
2016-02-22;2;2016
2016-02-29;3;2016
2016-03-07;3;2016
2016-03-14;3;2016
2016-03-21;3;2016
2016-03-28;3;2016
2016-04-04;4;2016
2016-04-11;4;2016
2016-04-18;4;2016
2016-04-25;4;2016
2016-05-02;5;2016
2016-05-09;5;2016
2016-05-16;5;2016
2016-05-23;5;2016
2016-05-30;6;2016
2016-06-06;6;2016
2016-06-13;6;2016
2016-06-20;6;2016
2016-06-27;6;2016
2016-07-04;7;2016
2016-07-11;7;2016
2016-07-18;7;2016
2016-07-25;7;2016
2016-08-01;8;2016
2016-08-08;8;2016
2016-08-15;8;2016
2016-08-22;8;2016
2016-08-29;9;2016
2016-09-05;9;2016
2016-09-12;9;2016
2016-09-19;9;2016
2016-09-26;9;2016
2016-10-03;10;2016
2016-10-10;10;2016
2016-10-17;10;2016
2016-10-24;10;2016
2016-10-31;11;2016
2016-11-07;11;2016
2016-11-14;11;2016
2016-11-21;11;2016
2016-11-28;11;2016
2016-12-05;12;2016
2016-12-12;12;2016
2016-12-19;12;2016
2016-12-26;12;2017
2017-01-02;1;2017
2017-01-09;1;2017
2017-01-16;1;2017
2017-01-23;1;2017
2017-01-30;2;2017
2017-02-06;2;2017
2017-02-13;2;2017
2017-02-20;2;2017
2017-02-27;2;2017
2017-03-06;3;2017
2017-03-13;3;2017
2017-03-20;3;2017
2017-03-27;3;2017
2017-04-03;4;2017
2017-04-10;4;2017
2017-04-17;4;2017
2017-04-24;4;2017
2017-05-01;5;2017
2017-05-08;5;2017
2017-05-15;5;2017
2017-05-22;5;2017
2017-05-29;6;2017
2017-06-05;6;2017
2017-06-12;6;2017
2017-06-19;6;2017
2017-06-26;6;2017
2017-07-03;7;2017
2017-07-10;7;2017
2017-07-17;7;2017
2017-07-24;7;2017
2017-07-31;8;2017
2017-08-07;8;2017
2017-08-14;8;2017
2017-08-21;8;2017
2017-08-28;8;2017
2017-09-04;9;2017
2017-09-11;9;2017
2017-09-18;9;2017
2017-09-25;9;2017
2017-10-02;10;2017
2017-10-09;10;2017
2017-10-16;10;2017
2017-10-23;10;2017
2017-10-30;11;2017
2017-11-06;11;2017
2017-11-13;11;2017
2017-11-20;11;2017
2017-11-27;11;2017
2017-12-04;12;2017
2017-12-11;12;2017
2017-12-18;12;2017
2017-12-25;12;2018
2018-01-01;1;2018
2018-01-08;1;2018
2018-01-15;1;2018
2018-01-22;1;2018
2018-01-29;2;2018
2018-02-05;2;2018
2018-02-12;2;2018
2018-02-19;2;2018
2018-02-26;2;2018
2018-03-05;3;2018
2018-03-12;3;2018
2018-03-19;3;2018
2018-03-26;3;2018
2018-04-02;4;2018
2018-04-09;4;2018
2018-04-16;4;2018
2018-04-23;4;2018
2018-04-30;5;2018
2018-05-07;5;2018
2018-05-14;5;2018
2018-05-21;5;2018
